id,commune,region_id,created_at,updated_at
131,Natales,12,2022-07-06 12:30:00-04,
132,Porvenir,12,2022-07-06 12:30:00-04,
133,Punta Arenas,12,2022-08-01 18:47:49-04,
134,Cauquenes,7,2022-07-06 12:30:00-04,
135,Colbún,7,2022-07-06 12:30:00-04,
136,Constitución,7,2022-07-06 12:30:00-04,
137,Curicó,7,2022-07-06 12:30:00-04,
138,Hualañé,7,2022-07-06 12:30:00-04,
139,Linares,7,2022-07-06 12:30:00-04,
140,Longaví,7,2022-07-06 12:30:00-04,
141,Maule,7,2022-07-06 12:30:00-04,
143,Molina,7,2022-07-06 12:30:00-04,
144,Parral,7,2022-07-06 12:30:00-04,
145,Rauco,7,2022-07-06 12:30:00-04,
146,Retiro,7,2022-07-06 12:30:00-04,
147,Romeral,7,2022-07-06 12:30:00-04,
148,San Clemente,7,2022-07-06 12:30:00-04,
149,San Javier,7,2022-07-06 12:30:00-04,
150,Talca,7,2022-07-06 12:30:00-04,
151,Teno,7,2022-07-06 12:30:00-04,
152,Villa Alegre,7,2022-07-06 12:30:00-04,
153,Buin,13,2023-02-16 09:22:35-03,
155,Calera de Tango,13,2023-02-16 09:22:35-03,
156,Cerrillos,13,2023-02-16 09:22:35-03,
157,Cerro Navia,13,2023-02-16 09:22:35-03,
158,Colina,13,2023-02-16 09:22:35-03,
161,Conchalí,13,2023-02-16 09:22:35-03,
162,Curacaví,13,2022-08-05 09:18:22-04,
163,El Bosque,13,2023-02-16 09:22:35-03,
164,El Monte,13,2022-07-06 12:30:00-04,
165,Estación Central,13,2023-02-22 07:59:51-03,
166,Huechuraba,13,2023-02-16 09:22:35-03,
167,Independencia,13,2023-02-16 09:22:35-03,
168,Isla de Maipo,13,2022-07-06 12:30:00-04,
170,La Cisterna,13,2023-02-16 09:22:35-03,
171,La Florida,13,2023-02-16 09:22:36-03,
172,La Granja,13,2023-02-16 09:22:36-03,
173,La Pintana,13,2023-02-16 09:22:36-03,
174,La Reina,13,2023-02-16 09:22:36-03,
175,Lampa,13,2023-02-16 09:22:36-03,
178,Las Condes,13,2023-02-16 09:22:36-03,
179,Lo Barnechea,13,2023-02-16 09:22:36-03,
180,Lo Espejo,13,2023-02-16 09:22:36-03,
181,Lo Prado,13,2023-02-16 09:22:36-03,
182,Macul,13,2023-02-16 09:22:36-03,
183,Maipú,13,2023-02-16 09:22:36-03,
184,Melipilla,13,2022-07-06 12:30:00-04,
186,Ñuñoa,13,2023-02-16 09:22:36-03,
187,Padre Hurtado,13,2022-08-19 13:28:47-04,
188,Paine,13,2022-07-06 12:30:00-04,
190,Pedro Aguirre Cerda,13,2023-02-16 09:22:36-03,
191,Peñaflor,13,2023-02-16 09:22:36-03,
192,Peñalolén,13,2023-02-16 09:22:36-03,
193,Pirque,13,2023-02-16 09:22:36-03,
194,Providencia,13,2023-02-16 09:22:36-03,
195,Pudahuel,13,2023-02-16 09:22:36-03,
197,Puente Alto,13,2023-02-16 09:22:36-03,
198,Quilicura,13,2023-02-16 09:22:36-03,
199,Quinta Normal,13,2023-02-16 09:22:36-03,
200,Recoleta,13,2023-02-16 09:22:36-03,
201,Renca,13,2023-02-16 09:22:36-03,
202,San Bernardo,13,2023-02-16 09:22:36-03,
203,San Joaquín,13,2023-02-16 09:22:36-03,
204,San José de Maipo,13,2023-02-16 09:22:36-03,
205,San Miguel,13,2023-02-16 09:22:36-03,
206,San Ramón,13,2023-02-16 09:22:36-03,
207,Santiago,13,2023-02-22 07:59:51-03,
208,Talagante,13,2022-07-06 12:30:00-04,
209,Tiltil,13,2022-07-06 12:30:00-04,
210,Vitacura,13,2023-02-16 09:22:36-03,
211,Bulnes,16,2022-07-06 12:30:00-04,
212,Chillán,16,2022-07-06 12:30:00-04,
213,Chillán Viejo,16,2022-07-06 12:30:00-04,
214,Coelemu,16,2022-07-06 12:30:00-04,
215,Coihueco,16,2022-07-06 12:30:00-04,
216,Quillón,16,2022-07-06 12:30:00-04,
217,Quirihue,16,2022-07-06 12:30:00-04,
218,San Carlos,16,2022-07-06 12:30:00-04,
219,Yungay,16,2022-07-06 12:30:00-04,
220,Alto Hospicio,1,2022-07-06 12:30:00-04,
221,Iquique,1,2022-07-06 12:30:00-04,
222,Pozo Almonte,1,2022-07-06 12:30:01-04,
223,Algarrobo,5,2022-07-06 12:30:01-04,
224,Cabildo,5,2022-07-06 12:30:01-04,
225,Calera,5,2022-07-06 12:30:01-04,
226,Calle Larga,5,2022-07-06 12:30:01-04,
227,Cartagena,5,2022-07-06 12:30:01-04,
228,Casablanca,5,2022-07-06 12:30:01-04,
229,Catemu,5,2022-07-06 12:30:01-04,
230,Concón,5,2022-07-06 12:30:01-04,
231,El Quisco,5,2022-07-06 12:30:01-04,
232,El Tabo,5,2022-07-06 12:30:01-04,
234,Hijuelas,5,2022-07-06 12:30:01-04,
235,Isla de Pascua,5,2022-07-06 12:30:01-04,
236,La Cruz,5,2022-07-06 12:30:01-04,
237,La Ligua,5,2022-07-06 12:30:01-04,
238,Limache,5,2022-07-06 12:30:01-04,
239,Llaillay,5,2022-07-06 12:30:01-04,
240,Los Andes,5,2022-07-06 12:30:01-04,
241,Nogales,5,2022-07-06 12:30:01-04,
243,Olmué,5,2022-07-06 12:30:01-04,
244,Puchuncaví,5,2022-07-06 12:30:01-04,
246,Putaendo,5,2022-07-06 12:30:01-04,
247,Quillota,5,2022-07-06 12:30:01-04,
248,Quilpué,5,2022-07-06 12:30:01-04,
249,Quintero,5,2022-07-06 12:30:01-04,
250,Rinconada,5,2022-07-06 12:30:01-04,
251,San Antonio,5,2022-07-06 12:30:01-04,
252,San Esteban,5,2022-07-06 12:30:01-04,
253,San Felipe,5,2022-07-06 12:30:01-04,
254,Santa María,5,2022-07-06 12:30:01-04,
255,Santo Domingo,5,2022-07-06 12:30:01-04,
256,Valparaíso,5,2022-07-06 12:30:01-04,
258,Villa Alemana,5,2022-07-06 12:30:01-04,
259,Viña del Mar,5,2022-07-06 12:30:01-04,
260,Chicureo,13,2022-08-19 13:26:17-04,
